书名,信息,评分,评价数,金句
杀死一只知更鸟,[美]哈珀·李/高红梅/译林出版社/2012-9/32.00元,9.2,45373人评价,有一种东西不能遵循从众原则，那就是——人的良心
孩子你慢慢来,龙应台/生活·读书·新知三联书店/2009-12-1/28.00元,8.8,46860人评价,我们现在怎样做母亲
你今天真好看,[美]莉兹•克里莫/周高逸/雅众文化/天津人民出版社/2015-8/39.00元,8.7,46483人评价,呆萌可爱的动物段子手
麦琪的礼物,[美]欧·亨利/张经浩/上海社会科学院出版社/2003-7/25.00元,8.6,45343人评价,日常的奇迹
地下铁,幾米/辽宁教育出版社/2002-2/32.00元,8.3,46730人评价,黑暗世界中的点滴亮光
刀锋,[英]毛姆/周煦良/上海译文出版社/2007-3/18.00元,9.0,42312人评价,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
菊与刀,（美）鲁思・本尼迪克特/吕万和/商务印书馆/1990-6/16.00,8.2,46451人评价,复杂矛盾的日本民族
查令十字街84号,[美]海莲·汉芙/陈建铭/译林出版社/2005-05-01/18.00元,8.3,45563人评价,文艺青年的爱情地标
流浪地球,刘慈欣/湖北长江出版集团，长江文艺出版社/2008-11/28.00元,8.6,44495人评价,刘慈欣获中国科幻银河奖的中短篇小说集
步步惊心,桐华/民族出版社/2006-6/25.00元,8.1,46403人评价,现世太苦，不如穿越回去从头来过
孤独六讲,蒋勋/广西师范大学出版社/2009-10-1/36.00元,8.1,45879人评价,作为一种美学的孤独
月亮忘記了,幾米/格林/2000-2-1/NT$299,8.6,42069人评价,月明星稀的晚上，看不见的，看见了
此间的少年,江南/华文出版社/2004-1/25.00元,8.4,43123人评价,象牙塔里的金庸群侠
雷雨,曹禺/人民文学出版社/1999-05/9.20,8.6,41966人评价,人的心都靠不住，我并不是说人坏，我就是恨人性太弱，太容易变了
球状闪电,刘慈欣/四川科学技术出版社/2005-6/22.00元,8.7,41168人评价,量子之外，没有真相
尘埃落定,阿来/人民文学出版社/1998-3-1/22.0,8.4,42321人评价,一个傻子的土司家族传奇
